Tiempo_ms,Original,Demodulada
5.000000000000000278e-02,-1.000000000000000000e+00,-7.913841056960264631e-01
5.099999999999999672e-02,-9.980267284282715590e-01,-7.916354023575705723e-01
5.199999999999999761e-02,-9.921147013144778759e-01,-7.888605874008833840e-01
5.299999999999999850e-02,-9.822872507286886101e-01,-7.826299773524131309e-01
5.399999999999999939e-02,-9.685831611286311871e-01,-7.731920469035511445e-01
5.500000000000000028e-02,-9.510565162951536422e-01,-7.607701422088311016e-01
5.600000000000000117e-02,-9.297764858882514583e-01,-7.453247646227556533e-01
5.700000000000000205e-02,-9.048270524660194658e-01,-7.264673124261989967e-01
5.800000000000000294e-02,-8.763066800438635839e-01,-7.050291333506547575e-01
5.899999999999999689e-02,-8.443279255020151863e-01,-6.805544217382550887e-01
6.000000000000000472e-02,-8.090169943749474513e-01,-6.530476919610948006e-01
6.099999999999999867e-02,-7.705132427757892533e-01,-6.236410121345303814e-01
6.199999999999999956e-02,-7.289686274214115524e-01,-5.913897609695775159e-01
6.300000000000000044e-02,-6.845471059286886151e-01,-5.565397646824581379e-01
6.400000000000000133e-02,-6.374239897486895234e-01,-5.195527633314611649e-01
6.499999999999998834e-02,-5.877852522924732481e-01,-4.806352208085814537e-01
6.600000000000000311e-02,-5.358267949789963236e-01,-4.397537067625416629e-01
6.700000000000000400e-02,-4.817536741017152679e-01,-3.973289035811941039e-01
6.800000000000000488e-02,-4.257792915650729371e-01,-3.531672764326677094e-01
6.899999999999999190e-02,-3.681245526846785854e-01,-3.070474968279461869e-01
6.999999999999999278e-02,-3.090169943749475623e-01,-2.602733009960939703e-01
7.100000000000000755e-02,-2.486898871648544340e-01,-2.126518748261954916e-01
7.200000000000000844e-02,-1.873813145857246287e-01,-1.639408573072206055e-01
7.299999999999999545e-02,-1.253332335643045914e-01,-1.143403374484789486e-01
7.399999999999999634e-02,-6.279051952931409553e-02,-6.454065883301411677e-02
7.499999999999999722e-02,-1.836970198721029688e-16,-1.472888019875885288e-02
7.599999999999999811e-02,6.279051952931372083e-02,3.552413807357578807e-02
7.699999999999999900e-02,1.253332335643042306e-01,8.556090419700768113e-02
7.799999999999999989e-02,1.873813145857242679e-01,1.349503765626469398e-01
7.900000000000000078e-02,2.486898871648540732e-01,1.841258416080378268e-01
8.000000000000000167e-02,3.090169943749480619e-01,2.324428572337144672e-01
8.100000000000000255e-02,3.681245526846782523e-01,2.794605201688419305e-01
8.200000000000000344e-02,4.257792915650726040e-01,3.258374397868238903e-01
8.300000000000000433e-02,4.817536741017149349e-01,3.707044925094377108e-01
8.399999999999999134e-02,5.358267949789959905e-01,4.138459204773968225e-01
8.500000000000000611e-02,5.877852522924736922e-01,4.556931481488365465e-01
8.600000000000000699e-02,6.374239897486899675e-01,4.953849641395225434e-01
8.699999999999999400e-02,6.845471059286886151e-01,5.335668192406699539e-01
8.799999999999999489e-02,7.289686274214112194e-01,5.691587087196834371e-01
8.899999999999999578e-02,7.705132427757888092e-01,6.025934784680345713e-01
9.000000000000001055e-02,8.090169943749477843e-01,6.340897197129059526e-01
9.099999999999999756e-02,8.443279255020151863e-01,6.625662713343928312e-01
9.199999999999999845e-02,8.763066800438635839e-01,6.884562105564107082e-01
9.299999999999999933e-02,9.048270524660193548e-01,7.117571848151797997e-01
9.400000000000000022e-02,9.297764858882511252e-01,7.322578922169660220e-01
9.500000000000000111e-02,9.510565162951537532e-01,7.501739287489902486e-01
9.600000000000000200e-02,9.685831611286311871e-01,7.650651106073512731e-01
9.700000000000000289e-02,9.822872507286887211e-01,7.769333146505829069e-01
9.800000000000000377e-02,9.921147013144777649e-01,7.862097410446495793e-01
9.899999999999999079e-02,9.980267284282715590e-01,7.922540460522083938e-01
1.000000000000000056e-01,1.000000000000000000e+00,7.950650124394456064e-01
1.010000000000000064e-01,9.980267284282715590e-01,7.950673101893511729e-01
1.019999999999999934e-01,9.921147013144778759e-01,7.916177133637413155e-01
1.029999999999999943e-01,9.822872507286887211e-01,7.855752423975852494e-01
1.039999999999999952e-01,9.685831611286312981e-01,7.762954356343576556e-01
1.050000000000000100e-01,9.510565162951536422e-01,7.642147150038274273e-01
1.059999999999999970e-01,9.297764858882513472e-01,7.488939100496143642e-01
1.069999999999999979e-01,9.048270524660195768e-01,7.305475674893590066e-01
1.079999999999999988e-01,8.763066800438638060e-01,7.094053408445928355e-01
1.090000000000000135e-01,8.443279255020150753e-01,6.856750626429536366e-01
1.100000000000000006e-01,8.090169943749475623e-01,6.587111697740730687e-01
1.110000000000000014e-01,7.705132427757890312e-01,6.291554805353309909e-01
1.120000000000000023e-01,7.289686274214115524e-01,5.974406190639814929e-01
1.129999999999999893e-01,6.845471059286889481e-01,5.629250350737832198e-01
1.140000000000000041e-01,6.374239897486896345e-01,5.266831335975149520e-01
1.150000000000000050e-01,5.877852522924733591e-01,4.882855714699078642e-01
1.160000000000000059e-01,5.358267949789964346e-01,4.479482498249304778e-01
1.169999999999999929e-01,4.817536741017153790e-01,4.056665903093238379e-01
1.179999999999999938e-01,4.257792915650730481e-01,3.623078927033758778e-01
1.190000000000000085e-01,3.681245526846779192e-01,3.172251662142340223e-01
1.200000000000000094e-01,3.090169943749477288e-01,2.708431601218980189e-01
1.209999999999999964e-01,2.486898871648545728e-01,2.233902153046014583e-01
1.219999999999999973e-01,1.873813145857247398e-01,1.752946848290284909e-01
1.230000000000000121e-01,1.253332335643038420e-01,1.263402454902185224e-01
1.239999999999999991e-01,6.279051952931331837e-02,7.674358213006032825e-02
1.250000000000000000e-01,3.061616997868383141e-16,2.714993011857168986e-02
1.260000000000000009e-01,-6.279051952931359593e-02,-2.287503018495296025e-02
1.270000000000000018e-01,-1.253332335643041195e-01,-7.310733676303857176e-02
1.280000000000000027e-01,-1.873813145857250173e-01,-1.229142651457483387e-01
1.290000000000000036e-01,-2.486898871648548226e-01,-1.722804835122217493e-01
1.299999999999999767e-01,-3.090169943749471182e-01,-2.211917979010195601e-01
1.310000000000000053e-01,-3.681245526846789740e-01,-2.692350661098384945e-01
1.320000000000000062e-01,-4.257792915650733256e-01,-3.161829972994821825e-01
1.330000000000000071e-01,-4.817536741017156010e-01,-3.622689654457840747e-01
1.340000000000000080e-01,-5.358267949789966567e-01,-4.068558682515166502e-01
1.350000000000000089e-01,-5.877852522924729151e-01,-4.496731487072431754e-01
1.360000000000000098e-01,-6.374239897486891904e-01,-4.907786368559154955e-01
1.369999999999999829e-01,-6.845471059286879489e-01,-5.301355939394276628e-01
1.379999999999999838e-01,-7.289686274214105532e-01,-5.675800287738717032e-01
1.389999999999999847e-01,-7.705132427757892533e-01,-6.024008032788518152e-01
1.399999999999999856e-01,-8.090169943749472292e-01,-6.348578296055129577e-01
1.410000000000000142e-01,-8.443279255020156304e-01,-6.649232432224906342e-01
1.420000000000000151e-01,-8.763066800438639170e-01,-6.924224282006968823e-01
1.430000000000000160e-01,-9.048270524660196878e-01,-7.169240603699906789e-01
1.440000000000000169e-01,-9.297764858882514583e-01,-7.386344118472408793e-01
1.449999999999999900e-01,-9.510565162951534202e-01,-7.573288575444584447e-01
1.459999999999999909e-01,-9.685831611286309650e-01,-7.730176430599038362e-01
1.469999999999999918e-01,-9.822872507286884991e-01,-7.857363773960760467e-01
1.479999999999999927e-01,-9.921147013144776539e-01,-7.951932090290054767e-01
1.489999999999999936e-01,-9.980267284282715590e-01,-8.016775146685297671e-01
1.499999999999999944e-01,-1.000000000000000000e+00,-8.048835391487145774e-01
1.510000000000000231e-01,-9.980267284282714479e-01,-8.051359116534834159e-01
1.519999999999999962e-01,-9.921147013144777649e-01,-8.021607052203206800e-01
1.529999999999999971e-01,-9.822872507286886101e-01,-7.959811761022018706e-01
1.539999999999999980e-01,-9.685831611286310761e-01,-7.868042195988553811e-01
1.549999999999999989e-01,-9.510565162951536422e-01,-7.743649388217840324e-01
1.559999999999999998e-01,-9.297764858882516803e-01,-7.589241018973844621e-01
1.570000000000000007e-01,-9.048270524660200209e-01,-7.407028476862268507e-01
1.580000000000000016e-01,-8.763066800438642501e-01,-7.192181328637701210e-01
1.590000000000000024e-01,-8.443279255020150753e-01,-6.944989951473015122e-01
1.600000000000000033e-01,-8.090169943749465631e-01,-6.674343321842328702e-01
1.610000000000000042e-01,-7.705132427757885871e-01,-6.375438907895645269e-01
1.620000000000000051e-01,-7.289686274214109973e-01,-6.050816528166208519e-01
1.630000000000000060e-01,-6.845471059286883930e-01,-5.704397464375633442e-01
1.640000000000000069e-01,-6.374239897486897455e-01,-5.334052059209525298e-01
1.650000000000000078e-01,-5.877852522924734702e-01,-4.942154015671988421e-01
1.660000000000000087e-01,-5.358267949789972118e-01,-4.528559168438432425e-01
1.669999999999999818e-01,-4.817536741017162671e-01,-4.099913484401641051e-01
1.679999999999999827e-01,-4.257792915650739918e-01,-3.656053512371940095e-01
1.689999999999999836e-01,-3.681245526846780303e-01,-3.194797936387830939e-01
1.700000000000000122e-01,-3.090169943749461190e-01,-2.727132346341695768e-01
1.710000000000000131e-01,-2.486898871648538234e-01,-2.250837443310582942e-01
1.720000000000000140e-01,-1.873813145857239904e-01,-1.763659990220176332e-01
1.730000000000000149e-01,-1.253332335643039530e-01,-1.272139146232502127e-01
1.739999999999999880e-01,-6.279051952931344327e-02,-7.763040298550299978e-02
1.749999999999999889e-01,-4.286263797015736102e-16,-2.718275427860721016e-02
1.759999999999999898e-01,6.279051952931259672e-02,2.283500537644271924e-02
1.769999999999999907e-01,1.253332335643031203e-01,7.242782094333884146e-02
1.779999999999999916e-01,1.873813145857231577e-01,1.218102139738646700e-01
1.789999999999999925e-01,2.486898871648529907e-01,1.707584896559589671e-01
1.800000000000000211e-01,3.090169943749486725e-01,2.186349219004011801e-01
1.810000000000000220e-01,3.681245526846788629e-01,2.656571937402270045e-01
1.819999999999999951e-01,4.257792915650732146e-01,3.118182017594701150e-01
1.829999999999999960e-01,4.817536741017154900e-01,3.560444732999288875e-01
1.839999999999999969e-01,5.358267949789965456e-01,3.989764074137045480e-01
1.849999999999999978e-01,5.877852522924728040e-01,4.403972658038507459e-01
1.859999999999999987e-01,6.374239897486890793e-01,4.800963093669303183e-01
1.869999999999999996e-01,6.845471059286878379e-01,5.174226731032679494e-01
1.880000000000000004e-01,7.289686274214104422e-01,5.530257724862489566e-01
1.890000000000000013e-01,7.705132427757891422e-01,5.866874038889963172e-01
1.900000000000000022e-01,8.090169943749482284e-01,6.175475112163594238e-01
1.910000000000000031e-01,8.443279255020156304e-01,6.458156686864465756e-01
1.920000000000000040e-01,8.763066800438639170e-01,6.719247098655625194e-01
1.930000000000000049e-01,9.048270524660195768e-01,6.954389503198662448e-01
1.940000000000000058e-01,9.297764858882513472e-01,7.161515711695454200e-01
1.950000000000000067e-01,9.510565162951534202e-01,7.344900964070132376e-01
1.960000000000000075e-01,9.685831611286309650e-01,7.495959069806316100e-01
1.969999999999999807e-01,9.822872507286884991e-01,7.616793347375805379e-01
1.979999999999999816e-01,9.921147013144776539e-01,7.707362649213822525e-01
1.990000000000000102e-01,9.980267284282715590e-01,7.767756404329240194e-01
2.000000000000000111e-01,1.000000000000000000e+00,7.797906875062107224e-01
2.010000000000000120e-01,9.980267284282715590e-01,7.795749987423796767e-01
2.020000000000000129e-01,9.921147013144777649e-01,7.765479453785683051e-01
2.030000000000000138e-01,9.822872507286886101e-01,7.702904532892106415e-01
2.039999999999999869e-01,9.685831611286311871e-01,7.610110348972133343e-01
2.049999999999999878e-01,9.510565162951537532e-01,7.485025759020412783e-01
2.059999999999999887e-01,9.297764858882516803e-01,7.329667244433976103e-01
2.069999999999999896e-01,9.048270524660200209e-01,7.144061713240673628e-01
2.079999999999999905e-01,8.763066800438643611e-01,6.934701879378235567e-01
2.090000000000000191e-01,8.443279255020151863e-01,6.697338838080683088e-01
2.100000000000000200e-01,8.090169943749477843e-01,6.436266830216549328e-01
2.109999999999999931e-01,7.705132427757886981e-01,6.144981370004749532e-01
2.119999999999999940e-01,7.289686274214111084e-01,5.829989528790348041e-01
2.129999999999999949e-01,6.845471059286885041e-01,5.491217849283711594e-01
2.139999999999999958e-01,6.374239897486898565e-01,5.126622589535549945e-01
2.149999999999999967e-01,5.877852522924735812e-01,4.749052546656840623e-01
2.159999999999999976e-01,5.358267949789973228e-01,4.347768428786379369e-01
2.169999999999999984e-01,4.817536741017163782e-01,3.929235226670437231e-01
2.180000000000000271e-01,4.257792915650724930e-01,3.495684974372428866e-01
2.190000000000000002e-01,3.681245526846781413e-01,3.047041794827746730e-01
2.200000000000000011e-01,3.090169943749479509e-01,2.583300631905316447e-01
2.210000000000000020e-01,2.486898871648539344e-01,2.108764107119696640e-01
2.220000000000000029e-01,1.873813145857241291e-01,1.621337168279818053e-01
2.230000000000000038e-01,1.253332335643040918e-01,1.129622698717241136e-01
2.240000000000000047e-01,6.279051952931356817e-02,6.314794109229757146e-02
2.250000000000000056e-01,5.510910596163089556e-16,1.334454800933008133e-02
2.259999999999999787e-01,-6.279051952931247182e-02,-3.668488352784597673e-02
2.269999999999999796e-01,-1.253332335643029816e-01,-8.713882079841293871e-02
2.280000000000000082e-01,-1.873813145857247675e-01,-1.369374520846660392e-01
2.290000000000000091e-01,-2.486898871648546006e-01,-1.865121015347648847e-01
2.300000000000000100e-01,-3.090169943749468962e-01,-2.356575173659369027e-01
2.310000000000000109e-01,-3.681245526846787519e-01,-2.839439057466635608e-01
2.320000000000000118e-01,-4.257792915650731036e-01,-3.311312666106742686e-01
2.329999999999999849e-01,-4.817536741017153790e-01,-3.774518994090506063e-01
2.339999999999999858e-01,-5.358267949789964346e-01,-4.220459590285977058e-01
2.349999999999999867e-01,-5.877852522924726930e-01,-4.651291802816821530e-01
2.359999999999999876e-01,-6.374239897486889683e-01,-5.064869392529932624e-01
2.369999999999999885e-01,-6.845471059286877269e-01,-5.460952868051425213e-01
2.380000000000000171e-01,-7.289686274214116635e-01,-5.835478630524827404e-01
2.390000000000000180e-01,-7.705132427757891422e-01,-6.186120153265463051e-01
2.400000000000000189e-01,-8.090169943749471182e-01,-6.513234509750375212e-01
2.409999999999999920e-01,-8.443279255020155194e-01,-6.811971402154137767e-01
2.419999999999999929e-01,-8.763066800438638060e-01,-7.087152577844355594e-01
2.429999999999999938e-01,-9.048270524660195768e-01,-7.332059429444922616e-01
2.439999999999999947e-01,-9.297764858882513472e-01,-7.546748083487210268e-01
2.449999999999999956e-01,-9.510565162951534202e-01,-7.733400181570382337e-01
2.460000000000000242e-01,-9.685831611286312981e-01,-7.887535174117769055e-01
2.469999999999999973e-01,-9.822872507286883881e-01,-8.011972386540332502e-01
2.479999999999999982e-01,-9.921147013144778759e-01,-8.106070869315146199e-01
2.489999999999999714e-01,-9.980267284282714479e-01,-8.170355363400437776e-01
2.500000000000000000e-01,-1.000000000000000000e+00,-8.200463717616077730e-01
2.510000000000000009e-01,-9.980267284282716700e-01,-8.200463717616077730e-01
2.520000000000000018e-01,-9.921147013144777649e-01,-8.170189418771192091e-01
2.530000000000000027e-01,-9.822872507286882771e-01,-8.105900688731635384e-01
2.540000000000000036e-01,-9.685831611286311871e-01,-8.009001339353980509e-01
2.550000000000000044e-01,-9.510565162951531981e-01,-7.882144220295556059e-01
2.560000000000000053e-01,-9.297764858882511252e-01,-7.727526294357567327e-01
2.570000000000000062e-01,-9.048270524660193548e-01,-7.538719879326061246e-01
2.580000000000000071e-01,-8.763066800438635839e-01,-7.324263280672121956e-01
2.590000000000000080e-01,-8.443279255020151863e-01,-7.079183313370088770e-01
2.599999999999999534e-01,-8.090169943749477843e-01,-6.808429399238434820e-01
2.610000000000000098e-01,-7.705132427757898084e-01,-6.509701482554833829e-01
2.620000000000000107e-01,-7.289686274214099981e-01,-6.184804493878710563e-01
2.630000000000000115e-01,-6.845471059286899473e-01,-5.838417687717614157e-01
2.640000000000000124e-01,-6.374239897486885242e-01,-5.464009733586022710e-01
2.650000000000000133e-01,-5.877852522924751355e-01,-5.074526976834575764e-01
2.660000000000000142e-01,-5.358267949789959905e-01,-4.663549440277965363e-01
2.669999999999999596e-01,-4.817536741017149349e-01,-4.239481058626854981e-01
2.680000000000000160e-01,-4.257792915650726040e-01,-3.798105113238929298e-01
2.689999999999999614e-01,-3.681245526846782523e-01,-3.339187587201358220e-01
2.700000000000000178e-01,-3.090169943749480619e-01,-2.873813620206938091e-01
2.709999999999999631e-01,-2.486898871648557663e-01,-2.395452816203138269e-01
2.720000000000000195e-01,-1.873813145857259888e-01,-1.908452501320136996e-01
2.730000000000000204e-01,-1.253332335643024542e-01,-1.414870722990622665e-01
2.739999999999999658e-01,-6.279051952931546943e-02,-9.211381780138234998e-02
2.750000000000000222e-01,1.102801099869206164e-15,-4.231351585384528907e-02
2.759999999999999676e-01,6.279051952931057057e-02,7.278174645074037691e-03
2.770000000000000240e-01,1.253332335643046191e-01,5.666520815426977914e-02
2.779999999999999694e-01,1.873813145857246565e-01,1.060502434171222141e-01
2.790000000000000258e-01,2.486898871648544618e-01,1.550098451843096581e-01
2.799999999999999711e-01,3.090169943749467851e-01,2.033217776388639708e-01
2.810000000000000275e-01,3.681245526846769756e-01,2.501275724151284519e-01
2.820000000000000284e-01,4.257792915650746024e-01,2.962899805134312503e-01
2.829999999999999738e-01,4.817536741017137136e-01,3.405202694623805093e-01
2.840000000000000302e-01,5.358267949789978779e-01,3.836736143652846875e-01
2.849999999999999756e-01,5.877852522924711387e-01,4.248805055127836683e-01
2.860000000000000320e-01,6.374239897486903006e-01,4.645775600100316982e-01
2.869999999999999774e-01,6.845471059286889481e-01,5.025467290588471192e-01
2.880000000000000338e-01,7.289686274214115524e-01,5.383571727862194178e-01
2.889999999999999791e-01,7.705132427757890312e-01,5.720125645231145528e-01
2.899999999999999800e-01,8.090169943749470072e-01,6.032920515218291868e-01
